Name_of_settler;;Native_soil;First_mention _ of_person_in_ Denmark;;Type_of_Religion;;Marital_Status_at_time_ of_immergration;;Number_of_chrilden_at_the_time_of_immigration;;After_settling_in_ Denmark;;gps_Longitude;;gps_Latitude ;
Agricola, Johann Michael;;Schriesheim Kurpfalz;1759;;Reformed ;;Married ;;3;;Remained in Denmark ;;49,476097;;8,660093;
Albrecht, Johann Adam ;;Grosssachsen Kurpfalz;1760;;Reformed ;;Married ;;0;;Went to Russia ;;49,512916;;8,662380;
Ament, Christian ;;Not mentioned ;1760;;Catholic ;;Not mentioned ;;0;;Depated from the country;;Na;;Na;
Barthol, Baltazar ;;Hofheim, Worms ;1760;;Reformed ;;Married ;;2;;AWOL;;49,658067;;8,415062;
Batey, Johann Georg ;;Kurpfalz;1760;;Reformed ;;Unmarried ;;1;;Remained in Denmark ;;49,408914;;8,107543;
Bauer, Johann Adam ;;Hessen-Darmstadt;1761;;Lutheran;;Married ;;0;;Travelpas to Russia ;;49,865108;;8,653898;
Bauer, Johann Bernhard ;;Bretten Kurpfalz;1761;;Lutheran;;Married ;;4;;Travelpas to Russia ;;49,041365;;8,710840;
Bauer, Johann Jacob;;Not mentioned ;1761;;Not mentioned ;;Not mentioned ;;3;;Died in Denmark ;;Na;;Na;
Baumgärtner, Johann;;Kurpfalz;1760;;Lutheran;;Not mentioned ;;2;;Depated from the country;;49,408914;;8,107543;
Beckenbach, Johann Nicolay;;Heilichkreuzsteinach Kurpfalz;1760;;Lutheran;;Married ;;3;;Died in Denmark ;;49,507593;;8,786252;
Becher, Johann Friderich ;;Not mentioned ;1761;;Not mentioned ;;Married ;;3;;Depated from the country;;Na;;Na;
Beier, Nicolay;;Kurpfalz;1760;;Reformed ;;Married ;;1;;Travelpas to Russia ;;49,408914;;8,107543;
Beisel, Johann;;Sulzfeld from Ritten Canton ;1760;;Lutheran;;Not mentioned ;;5;;Depated from the country;;49,104879;;8,855674;
Beisel, Nicolai;;Degenfeld county Kurpfalz;1759;;Lutheran;;Married ;;0;;Travelpas to Russia ;;48,725416;;9,879190;
Berth, Melchior ;;Wembach Hessen-Darmstadt;1760;;Reformed ;;Married ;;0;;Depated from the country;;49,827757;;8,843913;
Besser, Jacob Peter ;;Bruchhaüser Hof Kurpfalz;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;Na;;Na;
Besser, Johann Peter ;;Bruchhaüser Hof Kurpfalz;1759;;Lutheran;;Married ;;0;;Remained in Denmark ;;Na;;Na;
Beydeck, Jacop;;Staffort Durlach;1761;;Lutheran;;Unmarried ;;0;;Depated from the country;;49,091374;;8,510941;
Beydeck, Johann Martin;;Staffort Durlach;1760;;Lutheran;;Married ;;2;;Depated from the country;;49,091374;;8,510941;
Bibes, Jacob;;Not mentioned ;1760;;Lutheran;;Married ;;0;;Died in Denmark ;;Na;;Na;
Bicon, Georg Adam ;;Heidelberg Kurpfalz;1760;;Catholic ;;Not mentioned ;;0;;Depated from the country;;49,394154;;8,671669;
Biedenbinder, Johann Tobias;;Hessen-Darmstadt;1760;;Lutheran;;Married ;;5;;Travelpas to Russia ;;49,865108;;8,653898;
Biedermann, Andreas;;Erbach Hessen;1760;;Lutheran;;Married ;;0;;Travelpas to Russia ;;49,657067;;8,999074;
Bitsch, Johann Georg ;;Reichenbach Hessen;1760;;Lutheran;;Married ;;0;;Died in Altona ;;49,709053;;8,694159;
Bitsch, Johann Jacob;;Lichtenberg Hessen;1760;;Lutheran;;Married ;;0;;Depated from the country;;49,770766;;8,803810;
Bitsch, Johann Peter ;;Reichenbach Hessen;1760;;Lutheran;;Married ;;0;;Remained in Denmark ;;49,709053;;8,694159;
Blau, Johann Valentin;;Ortenberg Baden;1756;;Lutheran;;Married ;;2;;Depated from the country;;49,451061;;7,971534;
Bleymeyer, Christian;;Württemberg;1763;;Lutheran;;Married ;;1;;Remained in Denmark ;;48,767863;;9,227412;
Bläser, Johann Peter;;Darmstadt;1760;;Lutheran;;Married ;;4;;Depated from the country;;49,865108;;8,653898;
Boeckler, Johann Adam;;Hessen-Darmstadt;1760;;Lutheran;;Married ;;2;;Remained in Denmark ;;49,865108;;8,653898;
Braüner, Georg junior ;;Dossenheim Kurpflaz ;1759;;Lutheran;;Not mentioned ;;0;;Depated from the country;;49,447665;;8,673478;
Braüner, Johann Georg senior;;Dossenheim Kurpflaz ;1759;;Lutheran;;Married ;;7;;Remained in Denmark ;;49,447665;;8,673478;
Brehm, Christian;;Kurpfalz;1760;;Reformed ;;Not mentioned ;;0;;Depated from the country;;49,408914;;8,107543;
